setting trait1 trait2 trait3
LD_maize_500 1.4515738542904453E-7 9.021431517214266E-7 NA
LD_maize_2815 1.1274259929868447E-6 7.773731680919701E-7 NA
LD_soy_2815 3.772046093330803E-6 3.5307761197907133E-6 NA
LD_soy_500 2.398720794889192E-6 2.5099238878469358E-6 NA
partially_maize_2815 1.8757682805064379E-6 5.557409955752546E-7 5.75172583252637E-7
partially_maize_500 1.668962962325097E-6 2.6229003196496186E-7 3.6112167788460705E-7
partially_soy_2815 3.87974822940144E-6 2.534881101188195E-6 4.415609769581059E-6
partially_soy_500 1.1835798430539988E-6 2.1130830473235147E-6 6.090716763484986E-6
pleiotropic_maize_2815 8.089799018528769E-7 4.110315749616277E-7 NA
pleiotropic_maize_500 3.320470907569496E-7 1.8187317774315765E-7 NA
pleiotropic_soy_2815 2.6085321948088286E-6 6.765992057258495E-6 NA
pleiotropic_soy_500 2.686069624923338E-6 2.634143233310708E-6 NA
